year,month,clt_pct,rsds_wm2
1962,11,21.352428,169.68567
1962,12,32.800537,141.52226
1963,1,34.57694,142.19632
1963,2,60.96208,150.27612
1963,3,46.40335,220.6208
1963,4,41.035744,262.60995
1963,5,37.755455,326.7855
1963,6,36.119217,340.08597
1963,7,13.13904,342.8616
1963,8,8.976142,302.3355
1963,9,24.278814,252.06113
1963,10,16.316545,217.80533
1963,11,33.808445,158.51978
1963,12,40.996853,126.0863
1964,1,27.65543,146.23584
1964,2,53.53041,169.75279
1964,3,35.15858,252.24072
1964,4,43.846745,263.44287
1964,5,52.6905,304.09042
1964,6,26.198164,337.41354
1964,7,22.649078,329.06912
1964,8,26.521374,304.84933
1964,9,19.903885,252.20305
1964,10,13.268549,223.95296
1964,11,40.45214,154.67958
1964,12,41.292778,128.49892
1965,1,24.981249,160.07262
1965,2,41.184757,190.16382
1965,3,38.94994,245.1996
1965,4,34.756447,299.67236
1965,5,29.55414,329.93988
1965,6,37.119663,318.1852
1965,7,30.8481,312.20013
1965,8,14.355221,309.9795
1965,9,28.029753,261.71017
1965,10,18.295607,221.8765
1965,11,33.5819,164.15657
1965,12,39.63133,136.33183
1966,1,51.98285,127.741234
1966,2,51.90295,169.92017
1966,3,50.90528,238.33673
1966,4,54.04064,252.76096
1966,5,44.052803,321.98187
1966,6,28.247326,337.30457
1966,7,28.256254,335.1724
1966,8,33.224556,306.53247
1966,9,45.84102,238.10739
1966,10,41.163185,193.50244
1966,11,32.012955,153.07558
1966,12,50.363625,118.27623
1967,1,53.743824,135.65399
1967,2,59.30942,165.70775
1967,3,59.236023,219.7474
1967,4,36.966873,284.8624
1967,5,41.052723,313.13107
1967,6,45.636223,331.97452
1967,7,23.825453,332.04733
1967,8,29.28748,304.48376
1967,9,45.756012,232.04431
1967,10,23.751871,219.54097
1967,11,36.23231,160.37686
1967,12,52.62633,121.38358
1968,1,33.70517,152.36433
1968,2,45.94589,163.17018
1968,3,32.228607,240.60143
1968,4,54.344746,297.75308
1968,5,45.91287,314.98306
1968,6,36.146084,339.366
1968,7,25.9134,330.16037
1968,8,19.309599,305.79846
1968,9,39.266857,238.25673
1968,10,29.169525,213.80066
1968,11,40.30637,163.66403
1968,12,33.1816,144.70671
1969,1,21.362574,161.76663
1969,2,44.061543,202.40608
1969,3,29.189451,253.01578
1969,4,41.40935,288.86148
1969,5,33.15318,333.3037
1969,6,19.707933,348.7831
1969,7,30.09339,299.99442
1969,8,10.4051285,319.1382
1969,9,13.925221,270.498
1969,10,13.783516,221.00003
1969,11,14.554401,170.78339
1969,12,42.185944,136.71098
1970,1,52.971706,126.362305
1970,2,66.84714,137.70569
1970,3,48.55297,238.57907
