year,season,mean_temp_c
1949,Spring,13.743870000000015
1949,Summer,21.076876666666692
1949,Winter,11.42749333333336
1950,Fall,19.926286666666687
1950,Spring,13.36720333333335
1950,Summer,21.30410333333337
1950,Winter,12.078476666666669
1951,Fall,19.866860000000013
1951,Spring,15.442573333333351
1951,Summer,22.533396666666686
1951,Winter,11.523120000000025
1952,Fall,19.460470000000026
1952,Spring,13.779913333333354
1952,Summer,21.84808000000002
1952,Winter,11.324490000000026
1953,Fall,18.30388666666668
1953,Spring,15.43286333333335
1953,Summer,21.37085333333336
1953,Winter,10.221876666666674
1954,Fall,20.135710000000017
1954,Spring,14.726646666666682
1954,Summer,22.99992000000003
1954,Winter,12.056236666666678
1955,Fall,19.119550000000043
1955,Spring,15.595830000000015
1955,Summer,21.24070000000002
1955,Winter,12.621036666666706
1956,Fall,17.82191666666671
1956,Spring,15.071546666666697
1956,Summer,21.101510000000037
1956,Winter,10.474860000000016
1957,Fall,20.44717000000001
1957,Spring,15.525006666666684
1957,Summer,22.971996666666694
1957,Winter,12.17022000000001
1958,Fall,19.914330000000007
1958,Spring,13.581150000000017
1958,Summer,22.210210000000036
1958,Winter,11.324140000000037
1959,Fall,17.658243333333342
1959,Spring,13.368796666666677
1959,Summer,20.827233333333368
1959,Winter,10.74403000000001
1960,Fall,19.206306666666688
1960,Spring,15.603326666666684
1960,Summer,22.341753333333354
1960,Winter,10.522046666666691
1961,Fall,17.22953000000003
1961,Spring,14.466986666666685
1961,Summer,21.644110000000012
1961,Winter,11.826430000000016
1962,Fall,16.89076000000004
1962,Spring,14.177216666666709
1962,Summer,20.770266666666675
1962,Winter,11.383343333333357
1963,Fall,18.364470000000022
1963,Spring,14.110640000000027
1963,Summer,22.86892000000002
1963,Winter,10.553360000000035
1964,Fall,18.956483333333363
1964,Spring,13.052976666666666
1964,Summer,21.340500000000002
1964,Winter,9.849283333333346
1965,Fall,19.09218666666669
1965,Spring,15.041540000000017
1965,Summer,21.707070000000027
1965,Winter,11.469760000000027
1966,Fall,16.98498333333335
1966,Spring,14.311843333333362
1966,Summer,21.001893333333367
1966,Winter,10.59402000000002
1967,Fall,17.95343333333337
1967,Spring,13.875453333333363
1967,Summer,21.842900000000043
1967,Winter,10.807236666666673
1968,Fall,19.24654666666669
1968,Spring,15.22496666666668
1968,Summer,21.75544666666667
1968,Winter,11.144433333333362
1969,Fall,17.789433333333363
1969,Spring,14.411103333333378
1969,Summer,23.23953666666669
1969,Winter,11.717903333333368
1970,Fall,16.681093333333365
1970,Spring,14.604406666666685
1970,Summer,22.201850000000018
1970,Winter,11.301590000000033
1971,Fall,19.024656666666676
1971,Spring,15.352233333333364
1971,Summer,21.555083333333357
1971,Winter,11.223690000000033
1972,Fall,17.776940000000007
1972,Spring,13.926463333333365
1972,Summer,20.636113333333356
1972,Winter,12.345826666666673
1973,Fall,18.73341000000001
1973,Spring,15.407880000000034
1973,Summer,22.054050000000018
1973,Winter,11.164036666666695
1974,Fall,20.173776666666697
1974,Spring,16.03501666666669
1974,Summer,21.283283333333372
1974,Winter,10.75078666666669
1975,Fall,18.527706666666706
1975,Spring,13.691340000000025
1975,Summer,22.941423333333358
1975,Winter,9.48150666666669
1976,Fall,17.263986666666693
1976,Spring,14.38471666666669
1976,Summer,20.759960000000017
1976,Winter,12.231296666666688
1977,Fall,18.08586333333335
1977,Spring,14.293876666666696
1977,Summer,22.05687000000002
1977,Winter,10.565250000000011
1978,Fall,17.872076666666675
1978,Spring,13.492673333333377
1978,Summer,21.39781000000003
1978,Winter,10.618246666666684
1979,Fall,19.91572000000002
1979,Spring,13.949993333333358
1979,Summer,23.089633333333364
1979,Winter,10.413386666666705
1980,Fall,20.60268666666669
1980,Spring,15.255046666666695
1980,Summer,22.274223333333357
1980,Winter,10.893093333333354
1981,Fall,17.303210000000036
1981,Spring,14.682153333333341
1981,Summer,21.92789000000003
1981,Winter,9.938950000000034
1982,Fall,18.355390000000018
1982,Spring,15.186056666666692
1982,Summer,22.665420000000022
1982,Winter,10.525853333333353
1983,Fall,19.644746666666702
1983,Spring,14.488056666666694
1983,Summer,21.120793333333364
1983,Winter,10.61342000000002
1984,Fall,17.45559000000003
1984,Spring,13.506546666666699
1984,Summer,20.752650000000017
1984,Winter,9.699320000000037
1985,Fall,19.331223333333355
1985,Spring,12.820776666666688
1985,Summer,20.554676666666694
1985,Winter,8.551120000000026
1986,Fall,18.80661333333336
1986,Spring,14.19988333333337
1986,Summer,21.594360000000034
1986,Winter,10.564380000000009
1987,Fall,16.59937000000002
1987,Spring,14.349620000000016
1987,Summer,20.726546666666707
1987,Winter,10.890866666666701
1988,Fall,18.339886666666683
1988,Spring,14.010446666666686
1988,Summer,21.084496666666684
1988,Winter,10.361906666666698
1989,Fall,19.22161333333334
1989,Spring,13.325260000000014
1989,Summer,21.472500000000025
1989,Winter,11.819093333333361
1990,Fall,20.810983333333372
1990,Spring,13.536206666666677
1990,Summer,21.46525333333335
1990,Winter,11.123813333333354
1991,Fall,19.880743333333367
1991,Spring,15.120666666666693
1991,Summer,23.108533333333355
1991,Winter,12.032100000000034
1992,Fall,17.875326666666695
1992,Spring,15.904220000000029
1992,Summer,22.453780000000013
1992,Winter,11.890866666666682
1993,Fall,17.559330000000028
1993,Spring,14.867373333333356
1993,Summer,22.1098566666667
1993,Winter,11.836183333333357
1994,Fall,18.432346666666678
1994,Spring,15.549240000000017
1994,Summer,20.421136666666694
1994,Winter,10.421013333333349
1995,Fall,17.57171333333334
1995,Spring,14.172263333333357
1995,Summer,22.720750000000027
1995,Winter,11.321506666666702
1996,Fall,16.218826666666683
1996,Spring,15.06206000000003
1996,Summer,22.694463333333374
1996,Winter,11.445210000000012
1997,Fall,19.31908333333335
1997,Spring,14.462993333333372
1997,Summer,22.596106666666685
1997,Winter,10.30494333333335
1998,Fall,18.10695666666669
1998,Spring,14.058130000000025
1998,Summer,21.116770000000013
1998,Winter,11.230310000000012
1999,Fall,19.031563333333377
1999,Spring,14.002833333333362
1999,Summer,22.739843333333358
1999,Winter,10.925510000000031
2000,Fall,18.812750000000012
2000,Spring,15.134800000000041
2000,Summer,23.53406000000003
2000,Winter,10.30095666666667
2001,Fall,18.657776666666695
2001,Spring,14.476190000000031
2001,Summer,20.305246666666694
2001,Winter,11.23896000000002
2002,Fall,17.78476333333335
2002,Spring,13.071816666666697
2002,Summer,22.56330333333335
2002,Winter,11.094143333333344
2003,Fall,19.092023333333334
2003,Spring,16.013210000000033
2003,Summer,22.83783333333334
2003,Winter,10.73762666666668
2004,Fall,19.62684333333336
2004,Spring,15.095860000000016
2004,Summer,21.846113333333374
2004,Winter,10.8440066666667
2005,Fall,19.456786666666687
2005,Spring,15.062350000000018
2005,Summer,22.756883333333366
2005,Winter,10.210536666666693
2006,Fall,19.98251000000003
2006,Spring,15.310130000000015
2006,Summer,22.51447333333336
2006,Winter,10.206000000000017
2007,Fall,19.20210666666668
2007,Spring,15.179773333333344
2007,Summer,20.368736666666695
2007,Winter,11.479456666666673
2008,Fall,19.36672333333337
2008,Spring,15.415440000000027
2008,Summer,22.464483333333344
2008,Winter,11.417160000000024
2009,Fall,18.83255333333337
2009,Spring,14.141913333333358
2009,Summer,21.421033333333373
2009,Winter,11.726996666666688
2010,Fall,17.944860000000023
2010,Spring,15.625286666666682
2010,Summer,22.13377333333335
2010,Winter,12.205936666666693
2011,Fall,20.309470000000015
2011,Spring,15.13889666666669
2011,Summer,22.81118333333336
2011,Winter,12.383683333333352
2012,Fall,19.072146666666697
2012,Spring,15.34274666666668
2012,Summer,22.248033333333353
2012,Winter,10.816856666666695
2013,Fall,19.48971666666669
2013,Spring,14.849800000000016
2013,Summer,21.899163333333338
2013,Winter,11.254826666666682
2014,Fall,18.95611666666669
2014,Spring,15.870396666666693
2014,Summer,22.675803333333363
2014,Winter,9.949160000000026
