year,month,temp_c,precip_mm
1948,9,22.2514,102.4184
1948,10,20.291,15.3221
1948,11,14.1328,2.72
1948,12,13.392,3.6056
1949,1,10.1393,7.0419
1949,2,13.657,117.4447
1949,3,11.8224,61.8352
1949,4,14.4657,7.6074
1949,5,14.9436,30.2897
1949,6,19.1976,2.2645
1949,7,22.0646,1.1318
1949,8,21.9684,0.9333
1949,9,20.6695,0.8988
1949,10,16.7399,12.5095
1949,11,14.6449,29.1448
1949,12,10.4861,59.9584
1950,1,11.7534,6.5029
1950,2,10.9459,82.3542
1950,3,11.7359,68.4386
1950,4,12.6429,90.1152
1950,5,15.7229,2.8898
1950,6,17.4946,4.4751
1950,7,23.0622,1.5741
1950,8,23.3556,3.2811
1950,9,23.0542,25.4695
1950,10,22.1023,0.0169
1950,11,14.6224,10.6983
1950,12,13.5361,35.868
1951,1,12.6664,10.0434
1951,2,12.3033,57.9236
1951,3,14.1369,56.4586
1951,4,14.598,35.2881
1951,5,17.5929,1.6294
1951,6,20.7031,0.8856
1951,7,21.5486,0.7945
1951,8,25.3485,0.2471
1951,9,22.0039,114.8271
1951,10,23.0004,27.6593
1951,11,14.5962,18.1125
1951,12,9.5997,149.5008
1952,1,10.9601,40.0081
1952,2,11.2979,47.0016
1952,3,10.0561,62.5983
1952,4,15.5089,18.3353
1952,5,15.7747,15.8739
1952,6,18.2901,3.5011
1952,7,23.9925,2.7632
1952,8,23.2616,0.8709
1952,9,22.9236,0.5902
1952,10,20.5383,8.8462
1952,11,14.9196,38.6473
1952,12,11.7155,29.7416
1953,1,9.606,46.7885
1953,2,11.2496,20.7518
1953,3,13.9762,37.7833
1953,4,15.3041,14.0588
1953,5,17.0183,34.6759
1953,6,18.9644,4.3552
1953,7,21.1217,1.4205
1953,8,24.0265,0.227
1953,9,22.209,57.7506
1953,10,19.8044,61.2565
1953,11,12.8982,93.0116
1953,12,9.81,16.0644
1954,1,11.9712,55.3373
1954,2,12.6927,35.1975
1954,3,12.8007,76.2479
1954,4,14.0528,39.3795
1954,5,17.3265,24.4036
1954,6,21.8459,1.2714
1954,7,21.8845,1.5327
1954,8,25.2693,1.4251
1954,9,22.3498,1.3663
1954,10,22.5714,1.4068
1954,11,15.486,46.6569
1954,12,11.5047,52.5251
1955,1,13.915,0.3323
1955,2,12.557,41.5291
1955,3,13.4761,34.651
1955,4,15.4346,11.1099
1955,5,17.8768,2.9998
1955,6,18.6478,1.5318
1955,7,21.5648,1.8914
1955,8,23.5095,0.7248
1955,9,23.7575,25.1372
1955,10,19.825,12.3113
1955,11,13.7761,12.5468
1955,12,11.3912,13.5577
1956,1,9.9495,142.7695
1956,2,12.2651,34.3115
1956,3,13.6628,7.8934
1956,4,14.2718,6.1147
1956,5,17.28,7.517
1956,6,17.6947,2.4347
1956,7,22.0401,0.7901
1956,8,23.5698,10.6688
1956,9,20.2407,16.9973
1956,10,20.1498,3.4062
1956,11,13.0753,13.247
1956,12,9.21,33.7547
1957,1,10.7545,41.3744
1957,2,12.063,40.1939
1957,3,13.6857,36.6469
1957,4,17.5069,92.4793
1957,5,15.3824,7.9257
1957,6,19.967,0.9093
1957,7,24.1698,1.7011
1957,8,24.7792,17.7677
1957,9,25.4581,101.2345
1957,10,21.3282,0.1782
1957,11,14.5552,4.0198
1957,12,13.6931,0.2495
1958,1,12.2096,78.3941
1958,2,10.596,48.2211
1958,3,11.1195,119.5158
1958,4,12.443,20.7575
1958,5,17.181,4.3258
1958,6,18.8105,2.1001
1958,7,24.2633,0.6761
1958,8,23.5569,0.765
1958,9,24.0992,13.2045
1958,10,21.6483,0.0692
1958,11,13.9955,40.4294
1958,12,11.1668,61.6083
1959,1,11.4886,335.2955
1959,2,12.3021,103.4951
1959,3,11.5217,119.1169
1959,4,13.1207,67.3032
1959,5,15.464,25.405
1959,6,18.3443,9.8605
1959,7,21.5959,1.762
1959,8,22.5414,1.54
1959,9,21.8504,2.0765
1959,10,18.1771,22.0485
1959,11,12.9473,17.9772
1959,12,8.4414,60.0533
1960,1,9.0999,52.545
1960,2,10.4879,68.116
1960,3,13.3396,37.0974
1960,4,14.7172,15.962
1960,5,18.7533,4.4364
1960,6,18.6532,3.8607
1960,7,22.8121,0.4993
1960,8,25.56,0.3321
1960,9,24.2073,1.3193
1960,10,18.4737,1.6286
1960,11,14.9379,15.468
1960,12,11.9784,20.7592
1961,1,11.9723,42.1631
1961,2,12.6617,73.3647
1961,3,12.8958,30.3674
1961,4,14.2839,29.0774
1961,5,16.2213,21.8865
1961,6,18.3522,1.4122
1961,7,20.8863,2.4852
1961,8,25.6938,28.3947
1961,9,22.6178,1.9775
1961,10,16.6115,16.0735
1961,11,12.4592,51.2391
1961,12,10.8454,3.6385
1962,1,11.2602,201.7218
1962,2,12.4207,17.9414
1962,3,12.6017,72.2048
1962,4,12.0674,96.2388
1962,5,17.8626,0.8143
1962,6,18.1266,4.9963
1962,7,20.5581,1.4562
1962,8,23.6261,2.5769
1962,9,20.5579,1.4295
1962,10,17.3216,0.3427
1962,11,12.7928,4.1681
1962,12,10.4692,12.7356
1963,1,9.0892,33.7495
1963,2,11.7097,133.0681
1963,3,14.1717,46.1876
1963,4,12.6127,38.487
1963,5,15.5475,10.8442
1963,6,21.3813,1.6848
1963,7,21.7032,0.8151
1963,8,25.5223,0.6229
1963,9,22.1391,2.7918
1963,10,20.02,0.7697
1963,11,12.9343,41.7042
1963,12,10.8612,31.083
1964,1,10.6157,57.1223
1964,2,10.425,75.1738
1964,3,11.0677,38.5564
1964,4,13.4616,9.2085
1964,5,14.6297,19.2961
1964,6,17.8995,3.4538
1964,7,22.247,0.5619
1964,8,23.875,1.1394
1964,9,22.8622,2.2151
1964,10,19.3379,0.1051
1964,11,14.6694,46.5731
1964,12,8.5072,74.3263
1965,1,10.0461,21.3212
1965,2,12.7711,25.0285
1965,3,13.9682,23.1456
1965,4,15.6872,6.4016
1965,5,15.4692,14.0424
1965,6,18.6005,58.1663
1965,7,23.2368,0.5581
1965,8,23.284,1.0834
1965,9,24.6113,5.9338
1965,10,18.0758,4.197
1965,11,14.5895,8.5721
1965,12,11.5921,19.4222
1966,1,10.6656,67.0944
1966,2,11.2934,115.9291
1966,3,13.6636,32.758
1966,4,12.7095,92.2404
1966,5,16.5624,10.0855
1966,6,17.8012,3.1953
1966,7,23.4781,0.7274
1966,8,21.7264,1.1811
1966,9,21.483,33.5663
1966,10,17.6945,20.1468
1966,11,11.7775,41.2922
1966,12,9.823,47.0433
1967,1,8.8967,41.1641
1967,2,11.9543,78.7385
