lat,lon,zos_m,year,month
32.5,242.49999999999997,0.19973347,1866,7
32.5,242.49999999999997,0.20146312,1866,8
32.5,242.49999999999997,0.2209166,1866,9
32.5,242.49999999999997,0.24721116,1866,10
32.5,242.49999999999997,0.20480338,1866,11
32.5,242.49999999999997,0.20660195,1866,12
32.5,242.49999999999997,0.22835697,1867,1
32.5,242.49999999999997,0.21544546,1867,2
32.5,242.49999999999997,0.17013659,1867,3
32.5,242.49999999999997,0.16400105,1867,4
32.5,242.49999999999997,0.16445337,1867,5
32.5,242.49999999999997,0.15865187,1867,6
32.5,242.49999999999997,0.16880126,1867,7
32.5,242.49999999999997,0.1896185,1867,8
32.5,242.49999999999997,0.19005102,1867,9
32.5,242.49999999999997,0.17771757,1867,10
32.5,242.49999999999997,0.15572713,1867,11
32.5,242.49999999999997,0.18455663,1867,12
32.5,242.49999999999997,0.2170158,1868,1
32.5,242.49999999999997,0.21164277,1868,2
32.5,242.49999999999997,0.15715344,1868,3
32.5,242.49999999999997,0.1545285,1868,4
32.5,242.49999999999997,0.16026413,1868,5
32.5,242.49999999999997,0.156166,1868,6
32.5,242.49999999999997,0.193416,1868,7
32.5,242.49999999999997,0.24261749,1868,8
32.5,242.49999999999997,0.23496169,1868,9
32.5,242.49999999999997,0.2526821,1868,10
32.5,242.49999999999997,0.22989514,1868,11
32.5,242.49999999999997,0.22607602,1868,12
32.5,242.49999999999997,0.21064557,1869,1
32.5,242.49999999999997,0.19422047,1869,2
32.5,242.49999999999997,0.18408367,1869,3
32.5,242.49999999999997,0.16361906,1869,4
32.5,242.49999999999997,0.16566011,1869,5
32.5,242.49999999999997,0.1849587,1869,6
32.5,242.49999999999997,0.20979683,1869,7
32.5,242.49999999999997,0.2071587,1869,8
32.5,242.49999999999997,0.20475978,1869,9
32.5,242.49999999999997,0.1869408,1869,10
32.5,242.49999999999997,0.18190068,1869,11
32.5,242.49999999999997,0.17164204,1869,12
32.5,242.49999999999997,0.17583051,1870,1
32.5,242.49999999999997,0.18352513,1870,2
32.5,242.49999999999997,0.16714838,1870,3
32.5,242.49999999999997,0.17034964,1870,4
32.5,242.49999999999997,0.16827948,1870,5
32.5,242.49999999999997,0.1692454,1870,6
32.5,242.49999999999997,0.17146145,1870,7
