year,mean_temp_c,total_precip_mm,temp_anomaly_c,precip_anomaly_mm,temp_baseline_c,precip_baseline_mm
1945,16.20130083333336,212.63798389478399,-0.10215319444444049,-132.535115013623,16.3034540277778,345.173098908407
1946,16.35888250000002,205.906643627616,0.05542847222222136,-139.26645528079098,16.3034540277778,345.173098908407
1947,17.281652500000025,269.903308276512,0.9781984722222248,-75.26979063189498,16.3034540277778,345.173098908407
1948,16.891395000000017,370.95126811666563,0.5879409722222171,25.778169208258646,16.3034540277778,345.173098908407
1949,15.899916666666693,331.06010222304,-0.4035373611111073,-14.112996685366966,16.3034540277778,345.173098908407
1950,16.66901750000002,331.6837785538032,0.3655634722222203,-13.489320354603763,16.3034540277778,345.173098908407
1951,17.341487500000017,473.370089058144,1.0380334722222173,128.19699014973702,16.3034540277778,345.173098908407
1952,16.603238333333355,268.77767372927997,0.2997843055555549,-76.39542517912702,16.3034540277778,345.173098908407
1953,16.332370000000015,388.144130465952,0.028915972222215203,42.97103155754502,16.3034540277778,345.173098908407
1954,17.479628333333352,336.750136833024,1.176174305555552,-8.422962075382998,16.3034540277778,345.173098908407
1955,17.144279166666696,158.32300609728,0.8408251388888957,-186.85009281112698,16.3034540277778,345.173098908407
1956,16.117458333333364,279.90500677343994,-0.1859956944444363,-65.26809213496705,16.3034540277778,345.173098908407
1957,17.77859833333335,344.6802617377536,1.475144305555549,-0.49283717065338806,16.3034540277778,345.173098908407
1958,16.757457500000026,390.06666967173123,0.4540034722222259,44.89357076332425,16.3034540277778,345.173098908407
1959,15.64957583333335,765.9337336217279,-0.6538781944444505,420.76063471332094,16.3034540277778,345.173098908407
1960,16.918358333333355,222.024045193056,0.6149043055555552,-123.14905371535099,16.3034540277778,345.173098908407
1961,16.291764166666685,302.07985751807996,-0.011689861111115363,-43.09324139032702,16.3034540277778,345.173098908407
1962,15.805396666666695,416.62648693958397,-0.49805736111110477,71.45338803117698,16.3034540277778,345.173098908407
1963,16.474347500000025,341.807757195168,0.17089347222222528,-3.3653417132389905,16.3034540277778,345.173098908407
1964,15.799810833333344,327.7315599128352,-0.5036431944444555,-17.44153899557176,16.3034540277778,345.173098908407
1965,16.82763916666669,187.872249875328,0.524185138888889,-157.30084903307898,16.3034540277778,345.173098908407
1966,15.723185000000024,465.259726331136,-0.580269027777776,120.08662742272901,16.3034540277778,345.173098908407
1967,16.11975583333336,376.427307072384,-0.1836981944444389,31.25420816397701,16.3034540277778,345.173098908407
1968,16.84284833333335,250.640227109664,0.5393943055555503,-94.53287179874297,16.3034540277778,345.173098908407
1969,16.7894941666667,92.43014012812799,0.4860401388888995,-252.742958780279,16.3034540277778,345.173098908407
1970,16.197235000000024,256.312465571232,-0.10621902777777592,-88.86063333717499,16.3034540277778,345.173098908407
1971,16.78891583333336,264.66909007104,0.48546180555555907,-80.504008837367,16.3034540277778,345.173098908407
1972,16.171335833333348,242.7529763258208,-0.13211819444445183,-102.42012258258617,16.3034540277778,345.173098908407
1973,16.83984416666669,233.23697542569602,0.5363901388888905,-111.93612348271097,16.3034540277778,345.173098908407
1974,17.06071583333336,323.00308571803197,0.7572618055555616,-22.170013190375016,16.3034540277778,345.173098908407
1975,16.160494166666695,258.453768432384,-0.14295986111110537,-86.719330476023,16.3034540277778,345.173098908407
1976,16.159990000000022,279.320053997376,-0.1434640277777781,-65.85304491103096,16.3034540277778,345.173098908407
1977,16.25046500000002,576.87322778208,-0.05298902777778025,231.700128873673,16.3034540277778,345.173098908407
1978,15.845201666666691,631.201378267872,-0.4582523611111089,286.028279359465,16.3034540277778,345.173098908407
1979,16.842183333333363,531.7865655994943,0.5387293055555631,186.61346669108735,16.3034540277778,345.173098908407
1980,17.256262500000023,326.004731658144,0.9528084722222232,-19.168367250262975,16.3034540277778,345.173098908407
1981,15.96305083333336,365.861320591968,-0.34040319444443945,20.68822168356104,16.3034540277778,345.173098908407
1982,16.68318000000002,479.884569531264,0.3797259722222215,134.711470622857,16.3034540277778,345.173098908407
1983,16.466754166666693,267.335568111744,0.16330013888889283,-77.83753079666297,16.3034540277778,345.173098908407
1984,15.353526666666696,338.784980964768,-0.9499273611111043,-6.388117943638974,16.3034540277778,345.173098908407
1985,15.31444916666669,194.855572016064,-0.9890048611111091,-150.31752689234298,16.3034540277778,345.173098908407
1986,16.291309166666693,349.4523052731168,-0.01214486111110702,4.2792063647098075,16.3034540277778,345.173098908407
1987,15.641600833333362,465.86827213056,-0.6618531944444381,120.69517322215302,16.3034540277778,345.173098908407
1988,15.949184166666688,274.3121690928,-0.3542698611111117,-70.860929815607,16.3034540277778,345.173098908407
1989,16.459616666666687,324.175598699904,0.15616263888888682,-20.99750020850297,16.3034540277778,345.173098908407
1990,16.734064166666688,610.172979908544,0.43061013888888766,264.999881000137,16.3034540277778,345.173098908407
1991,17.535510833333362,194.62606772803198,1.2320568055555619,-150.547031180375,16.3034540277778,345.173098908407
1992,17.031048333333356,228.2475006294048,0.7275943055555558,-116.92559827900217,16.3034540277778,345.173098908407
1993,16.59318583333336,200.154939954048,0.28973180555556155,-145.018158954359,16.3034540277778,345.173098908407
1994,16.205934166666683,359.54618316912,-0.09751986111111677,14.373084260713028,16.3034540277778,345.173098908407
1995,16.446558333333357,248.2462065736224,0.14310430555555698,-96.92689233478458,16.3034540277778,345.173098908407
1996,16.355140000000024,245.92904077829758,0.0516859722222236,-99.24405813010941,16.3034540277778,345.173098908407
1997,16.670781666666688,122.45191926537599,0.367327638888888,-222.721179643031,16.3034540277778,345.173098908407
1998,16.128041666666686,431.779807009728,-0.17541236111111402,86.60670810132103,16.3034540277778,345.173098908407
1999,16.67493750000003,440.1745769850509,0.37148347222223066,95.00147807664393,16.3034540277778,345.173098908407
2000,16.94564166666669,244.4545594593792,0.6421876388888883,-100.71853944902779,16.3034540277778,345.173098908407
2001,16.169543333333362,438.197906944512,-0.13391069444443815,93.02480803610501,16.3034540277778,345.173098908407
2002,16.128506666666684,566.3107318014087,-0.17494736111111564,221.1376328930017,16.3034540277778,345.173098908407
2003,17.17017333333335,402.07900309142394,0.8667193055555487,56.90590418301696,16.3034540277778,345.173098908407
2004,16.853205833333362,283.843969098048,0.5497518055555624,-61.32912981035901,16.3034540277778,345.173098908407
2005,16.871639166666693,467.90214681024,0.568185138888893,122.72904790183304,16.3034540277778,345.173098908407
2006,17.003278333333355,226.090742965056,0.6998243055555555,-119.08235594335099,16.3034540277778,345.173098908407
2007,16.55751833333335,201.65123147587198,0.2540643055555485,-143.521867432535,16.3034540277778,345.173098908407
2008,17.16595166666669,433.546575164496,0.8624976388888896,88.37347625608902,16.3034540277778,345.173098908407
2009,16.530624166666698,264.594719822976,0.2271701388888978,-80.57837908543098,16.3034540277778,345.173098908407
2010,16.97746416666669,244.255531257792,0.6740101388888888,-100.91756765061498,16.3034540277778,345.173098908407
2011,17.660808333333353,286.241028129504,1.3573543055555533,-58.93207077890298,16.3034540277778,345.173098908407
2012,16.869945833333357,292.41014622163203,0.5664918055555574,-52.76295268677495,16.3034540277778,345.173098908407
2013,16.873376666666683,506.45740464115204,0.5699226388888832,161.28430573274505,16.3034540277778,345.173098908407
2014,16.862869166666695,216.141486845472,0.5594151388888946,-129.03161206293498,16.3034540277778,345.173098908407
